lora_id,feature_set_type,k,ablate_scale,step_mode,num_runs,latents_mse_mean,latents_mse_std,feature_abs_mean_pre_mean,feature_abs_mean_post_mean
character_3,top,16,0.0,last,2,0.040374755859375,0.002960205078125,1.0310171246528625,0.0
character_3,random,16,0.0,last,4,0.001273512840270996,0.0008904620772227645,0.5029480382800102,0.0
character_3,top,16,0.5,last,2,0.01007843017578125,0.00074005126953125,1.0310171246528625,0.5155085623264313
character_3,random,16,0.5,last,4,0.000319749116897583,0.00022408914810512215,0.5029480382800102,0.2514740191400051
object_2,top,16,0.0,last,2,0.037567138671875,0.0023193359375,1.087026596069336,0.0
object_2,random,16,0.0,last,4,0.0004609823226928711,3.9495713281212375e-05,0.5733178108930588,0.0
object_2,top,16,0.5,last,2,0.00936126708984375,0.00057220458984375,1.087026596069336,0.543513298034668
object_2,random,16,0.5,last,4,0.00011518597602844238,9.574062460160349e-06,0.5733178108930588,0.2866589054465294
